item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q200128,history of Bosnia and Herzegovina,History of Bosnia and Herzegovina,storia della Bosnia ed Erzegovina,storia del territorio dello stato o della civiltà,History,entity
Q201350,history of Sweden,aspect of history,storia della Svezia,storia del territorio dello stato o della civiltà,History,entity
Q202808,history of Finland,aspect of history,storia della Finlandia,storia del territorio dello stato o della civiltà,History,entity
Q204680,history of Denmark,aspect of history,storia della Danimarca,storia del territorio dello stato o della civiltà,History,entity
Q205157,History of Ireland,Island of Ireland history,storia dell'Irlanda,storia dell'isola d'Irlanda,History,entity
Q205204,women's suffrage,legal right of women to vote,suffragio femminile,movimento politico,History,entity
Q205317,history of Belgium,"aspect of history, focusing on the western European country of Belgium",storia del Belgio,storia del territorio dello stato o della civiltà,History,entity
Q2059831,history of the bicycle,aspect of history,Storia della bicicletta,cronologia e analisi degli eventi che hanno caratterizzato lo sviluppo e la diffusione della bicicletta,History,entity
Q208761,history of Switzerland,aspect of history,storia della Svizzera,storia del territorio dello stato o della civiltà,History,entity
Q209655,history of Latvia,occurrences and people in Latvia throughout history,storia della Lettonia,storia del territorio dello stato o della civiltà,History,entity
Q210701,history of Ukraine,"aspect of history, focusing on Ukraine",Storia dell'Ucraina,studio e narrazione del passato dell'Ucraina,History,entity
Q210725,history of Norway,aspect of history,storia della Norvegia,storia del territorio dello stato o della civiltà,History,entity
Q210726,history of Croatia,aspect of history,storia della Croazia,storia del territorio dello stato o della civiltà,History,entity
Q211967,history of Brazil,aspect of history,storia del Brasile,storia del territorio dello stato o della civiltà,History,entity
Q212913,history of Vietnam,aspect of history,storia del Vietnam,storia del territorio dello stato o della civiltà,History,entity
Q213833,history of Albania,aspect of history,storia dell'Albania,storia del territorio dello stato o della civiltà,History,entity
Q215063,history of Lithuania,occurrences and people in Lithuania throughout history,storia della Lituania,storia del territorio dello stato o della civiltà,History,entity
Q216672,history of Romania,"history of Romania, a country in Eastern Europe",storia della Romania,storia del territorio dello stato o della civiltà,History,entity
Q2177430,history of Fiji,Fiji'nin tarihi,storia delle Fiji,storia del territorio dello stato o della civiltà,History,entity
Q2188756,history of the United States from 1865 to 1918,aspect of history,storia degli Stati Uniti d'America dal 1865 al 1918,storia degli USA dal 1865 al 1918,History,entity
Q2192542,history of the United States from 1789 to 1849,aspect of history,storia degli Stati Uniti d'America dal 1789 al 1849,storia degli USA dal 1789 al 1849,History,entity
Q2206741,history of Barbados,aspect of history,storia di Barbados,storia del territorio dello stato o della civiltà,History,entity
Q223195,history of Serbia,aspect of history,storia della Serbia,storia del territorio dello stato o della civiltà,History,entity
Q2246013,history of Thessaloniki,"city in Macedonia, Greece",Tessalonica,città antica,History,entity
Q2259901,history of the Northern Mariana Islands,aspect of history,storia delle Isole Marianne Settentrionali,storia del territorio dello stato o della civiltà,History,entity
Q2267264,Age of Liberty,the years 1718-1772 in Swedish history,epoca della libertà svedese,fase nella storia della Svezia (1718-1772),History,entity
Q2292551,history of the United States from 1918 to 1945,aspect of history,storia degli Stati Uniti d'America dal 1918 al 1945,storia degli USA dal 1918 al 1945,History,entity
Q2297554,history of feminism,chronological narrative of the movements and ideologies aimed at equal rights for women,storia del femminismo,narrazione cronologica di eventi riconducibili ai movimenti per l'uguaglianza di genere,History,entity
Q2297590,history of the Soviet Union from 1953 to 1964,aspect of history,storia dell'Unione Sovietica,eventi del 1953-1985,History,entity
Q234541,history of Lebanon,aspect of history,storia del Libano,storia del territorio dello stato o della civiltà,History,entity
Q238246,History of Georgia,history of the country in the Caucasus region of Eurasia,storia della Georgia,storia del territorio dello stato o della civiltà,History,entity
Q238533,history of the Netherlands,Dutch history,storia dei Paesi Bassi,storia del territorio dello stato o della civiltà,History,entity
Q243842,history of Malta,history of the European country of Malta,storia di Malta,storia del territorio dello stato o della civiltà,History,entity
Q246968,history of Nicaragua,record of the past of Nicaragua,storia del Nicaragua,storia del territorio dello stato o della civiltà,History,entity
Q2480041,Italy in the Middle Ages,history of the states of the Italian peninsula from the fall of the Roman Empire to the Italian Renaissance,Italia medievale,storia d'Italia nel Medioevo,History,entity
Q2519710,History of the United States (1849–1865),aspect of history,storia degli Stati Uniti d'America dal 1849 al 1865,storia degli USA dal 1849 al 1865,History,entity
Q254346,history of the Faroe Islands,aspect of history,storia delle isole Fær Øer,storia del territorio dello stato o della civiltà,History,entity
Q2564225,history of the Ottoman Empire,aspect of history,storia dell'impero ottomano,storia dell'Impero ottomano,History,entity
Q256551,history of Real Madrid C.F.,aspect of history,storia del Real Madrid Club de Fútbol,Storia del Real Madrid,History,entity
Q2584128,history of Riga,aspect of history,storia di Riga,Storia della città di Riga,History,entity
Q2633301,history of the United States from 1964 to 1980,aspect of history,storia degli Stati Uniti d'America da 1964 al 1980,storia degli USA dal 1964 al 1980,History,entity
Q2633338,history of the United States from 1980 to 1991,aspect of history,storia degli Stati Uniti d'America da 1980 al 1988,storia degli USA dal 1980 al 1988,History,entity
Q2643575,Kingdom of Italy,name of several monarchies which existed during the Middle Ages in Italy,Regno d'Italia,denominazione assunta da varie monarchie che hanno regnato su parti o sulla totalità della penisola italiana,History,entity
Q2667020,economic history of the United States,United States of America's economic history,storia economica degli Stati Uniti d'America,storia economica,History,entity
Q2671119,history of the Roman Empire,occurrences and people in the Roman Empire,storia dell'Impero romano,storia del territorio dello stato o della civiltà,History,entity
Q2696109,history of Israel,History of the land of Israel,storia di Israele,storia del territorio dello stato o della civiltà,History,entity
Q2704902,Imperial Library of Constantinople,ancient library,Biblioteca di Costantinopoli,Grande biblioteca dell'antichità,History,entity
Q2725768,settlement of Iceland,survey of the topic,colonizzazione dell'Islanda,insediamento dell'Islanda nel medioevo,History,entity
Q273595,history of Ethiopia,aspect of history,storia d'Etiopia,storia dello Stato o della civiltà etiopi,History,entity
Q2744516,history of Antigua and Barbuda,aspect of history,storia di Antigua e Barbuda,storia del territorio dello stato o della civiltà,History,entity
Q2765144,history of Jerusalem,history of a western Asian city,storia di Gerusalemme,studio della Storia di Gerusalemme,History,entity
Q28455089,history of the United States from 2008 to the present,aspect of history,storia degli Stati Uniti d'America dal 2008 in poi,storia degli USA dal 2008 in poi,History,entity
Q2917709,history of Sydney,aspect of history,storia di Sydney,aspetti storici,History,entity
Q2992045,history of Samoa,history of the islands of Samoa,storia di Samoa,Storia dell'isola di Samoa,History,entity
Q2993777,history of the Byzantine Empire,aspect of history,storia dell'impero bizantino,storia dell'Impero bizantino,History,entity
Q309450,Jiraiya Gōketsu Monogatari,novel by Mizugaki Egao,Jiraiya Goketsu Monogatari,romanzo di Mizugaki Egao,History,entity
Q3136756,history of Melbourne,"historical development of Melbourne, Victoria, Australia",storia di Melbourne,aspetti storici,History,entity
Q3137046,history of the France national football team,aspect of history,storia della Nazionale di calcio della Francia,storia della nazionale di calcio francese,History,entity
Q3137687,history of the United States from 1945 to 1964,aspect of history,storia degli Stati Uniti d'America dal 1945 al 1964,storia degli USA dal 1945 al 1964,History,entity
Q316648,history of Peru,"history of country and territory of Peru, South America",storia del Perù,Fasi storiche peruviane,History,entity
Q324945,history of Slovenia,aspect of history,storia della Slovenia,storia del territorio dello stato o della civiltà,History,entity
Q324951,history of Slovakia,aspect of history,storia della Slovacchia,storia del territorio dello stato o della civiltà,History,entity
Q331596,History of Indonesia,aspect of history,storia dell'Indonesia,storia del territorio dello stato o della civiltà,History,entity
Q3376121,The Holocaust in Romania,The Holocaust as it developed in Romania,Olocausto in Romania,Persecuzione e sterminio degli ebrei iniziato nel 1937 in Romania,History,entity
Q338434,history of Moscow,aspect of history,storia di Mosca,articolo di storia di Wikimedia,History,entity
Q3394799,history of Katowice,aspect of history,storia di Katowice,Articolo di storia di Wikimedia,History,entity
Q3624155,archaic Roman art,ancient Roman art from pre-history to around the early Roman Republic,Arte romana arcaica,arte romana dal 753 al 509 a.C.,History,entity
Q3754057,King Victor Emmanuel III of Italy getaway from Rome,relocation of the Italian monarch to south Italy to escape from Nazi army,Fuga di Vittorio Emanuele III,evento storico (9-10 settembre 1943),History,entity
Q378008,History of Formosa,history of the island of Taiwan,storia di Taiwan,storia del territorio dello stato o della civiltà,History,entity
Q379391,history of Thailand,aspect of history,storia della Thailandia,storia del territorio dello stato o della civiltà,History,entity
Q3974211,History of Alessandria,"history of the city of Alessandria, Italy",Storia di Alessandria,"storia della città di Alessandria, Italia",History,entity
Q3974317,history of Monza,aspect of history,storia di Monza,vicende storiche della città di Monza,History,entity
Q3974332,History of Pescara,"history of the city of Pescara, Italy",Storia di Pescara,vicende storiche della città di Pescara,History,entity
Q3974377,History of Turin,"History of Turin, Northern Italy",storia di Torino,vicende storiche della città di Torino,History,entity
Q3974386,history of Verona,verona's City history,storia di Verona,vicende storiche della città di Verona,History,entity
Q4204715,history of the Soviet Union from 1922 to 1953,aspect of history,storia dell'Unione Sovietica,fase iniziale della storia dell'URSS,History,entity
Q457473,history of Juventus F.C.,aspect of history,storia della Juventus Football Club,storia della Juventus,History,entity
Q472658,history of Morocco,account of past events in Moroccan civilization,storia del Marocco,storia del territorio dello stato o della civiltà,History,entity
Q472967,history of Chile,aspect of history,storia del Cile,storia del territorio dello stato o della civiltà,History,entity
Q473130,history of Cuba,aspect of history,storia di Cuba,storia del territorio dello stato o della civiltà,History,entity
Q473761,history of Algeria,aspect of history,storia dell'Algeria,storia del territorio dello stato o della civiltà,History,entity
Q474862,women in Nazi Germany,aspect of history,donne nella Germania nazista,donna nella Germania nazista,History,entity
Q4909873,history of Thailand (1932-1973),aspect of history,storia della Thailandia,storia del territorio dello stato o della civiltà,History,entity
Q494973,history of South Korea,aspect of history,storia della Corea del Sud,storia del territorio dello stato o della civiltà,History,entity
Q512094,history of Cape Verde,historic record of the island country Cape Verde,storia di Capo Verde,storia del territorio dello stato o della civiltà,History,entity
Q517851,history of Florence,aspect of history,storia di Firenze,vicende storiche della città di Firenze,History,entity
Q524656,history of Ghana,aspect of history,storia del Ghana,storia del territorio dello stato o della civiltà,History,entity
Q528560,history of Moldova,aspect of history,storia della Moldavia,storia del territorio dello stato o della civiltà,History,entity
Q5333506,economic history of the United Kingdom,history of the British economy,storia economica del Regno Unito,aspetto storico,History,entity
Q5409928,history of the Soviet Union from 1982 to 1991,aspect of history,storia dell'Unione Sovietica,fase finale della storia dell'URSS,History,entity
Q549547,Decipherment of ancient Egyptian scripts,overview about the decipherment of ancient Egyptian scripts,Decifrazione dei geroglifici egizi,decifrazione del sistema scrittorio dell'antico Egitto,History,entity
Q556450,history of North Macedonia,aspect of history,storia della Macedonia del Nord,storia del territorio dello stato o della civiltà,History,entity
Q559915,history of Saudi Arabia,aspect of history,storia dell'Arabia Saudita,storia del territorio dello stato o della civiltà,History,entity
Q56544750,history of Roman Italy,history of Italy under the rule of Rome,storia dell'Italia romana,storia dell'Italia sotto il dominio di Roma (VIII secolo a.C. - V secolo d.C.),History,entity
Q566781,history of Cologne,aspect of history,storia di Colonia,Articolo di storia di Wikimedia,History,entity
Q568251,history of Scandinavia,aspect of history,storia della Scandinavia,storia del territorio dello stato o della civiltà,History,entity
Q5775087,history of Auckland,"History of the city of Auckland, New Zealand",Storia di Auckland,"storia della città di Auckland, in Nuova Zelanda",History,entity
Q628024,history of Montenegro,chronicle about the country of Montenegro,storia del Montenegro,storia del territorio dello stato o della civiltà,History,entity
Q641698,history of Kyrgyzstan,aspect of history,storia del Kirghizistan,storia del territorio dello stato o della civiltà,History,entity
Q646206,history of Rome,History of city of Rome and Roman civilization,storia di Roma,vicende storiche della città di Roma,History,entity
Q661564,history of Benin,aspect of history,storia del Benin,storia del territorio dello stato o della civiltà,History,entity
Q67045014,History of Afragola,"history of the municipality of Afragola, Italy",Storia di Afragola,storia di Afragola,History,entity
Q67188291,Glory to Hong Kong,representative song of the 2019 Hong Kong protests,Gloria a Hong Kong,canzone delle proteste di Hong Kong del 2019,History,entity
Q672551,history of New Zealand,aspect of history,storia della Nuova Zelanda,storia del territorio dello stato o della civiltà,History,entity
Q675398,history of El Salvador,aspect of history,storia di El Salvador,storia del territorio dello stato o della civiltà,History,entity
Q679741,history of Berlin,history of the capital city of Germany,storia di Berlino,storia del territorio dello stato o della civiltà,History,entity
Q684180,history of Zurich,aspect of history,storia di Zurigo,storia del territorio dello stato o della civiltà,History,entity
Q685093,"history of Washington, D.C.",history of the capital city of the United States,storia di Washington D.C.,storia del territorio dello stato o della civiltà,History,entity
Q687152,history of Honduras,aspect of history,storia dell'Honduras,storia del territorio dello stato o della civiltà,History,entity
Q693116,history of Bern,aspect of history,storia di Berna,storia del territorio dello stato o della civiltà,History,entity
Q693277,history of North Korea,events in the north of the Korean peninsula since the end of World War II,storia della Corea del Nord,storia del territorio dello stato o della civiltà,History,entity
Q695980,history of Iraq,historical development of Iraq,storia dell'Iraq,storia del territorio dello stato o della civiltà,History,entity
Q699391,history of Taipei,aspect of history,storia di Taipei,storia del territorio dello stato o della civiltà,History,entity
Q706790,history of East Germany,aspect of history,storia della Repubblica Democratica Tedesca,storia del territorio dello stato o della civiltà,History,entity
Q707167,history of Togo,aspect of history,storia del Togo,storia del territorio dello stato o della civiltà,History,entity
Q713414,history of Korea,aspect of history,storia della Corea,storia del territorio dello stato o della civiltà,History,entity
Q719335,history of Andorra,aspect of history,storia di Andorra,storia del territorio dello stato o della civiltà,History,entity
Q726994,history of Pakistan,history of the state Pakistan,storia del Pakistan,storia del territorio dello stato o della civiltà,History,entity
Q74091,Saudi–Kuwaiti Neutral Zone,neutral zone between Saudi Arabia and Kuwait established in 1922 and dissolved in 1969,Zona neutrale kuwaitiano-saudita,territorio neutrale fra Arabia Saudita e Kuwait esistito fra il 1922 e il 1969,History,entity
Q750817,history of Equatorial Guinea,aspect of history,storia della Guinea Equatoriale,storia del territorio dello stato o della civiltà,History,entity
Q752364,history of Kosovo,aspect of history,storia del Kosovo,storia del territorio dello stato o della civiltà,History,entity
Q754192,history of Chad,aspect of history,storia del Ciad,storia del territorio dello stato o della civiltà,History,entity
Q756836,history of Greenland,aspect of history,storia della Groenlandia,storia del territorio dello stato o della civiltà,History,entity
Q768502,history of Mongolia,aspect of history,storia della Mongolia,storia del territorio dello stato o della civiltà,History,entity
Q769743,history of Madagascar,aspect of history,storia del Madagascar,storia del territorio dello stato o della civiltà,History,entity
Q775327,history of Nauru,aspect of history,storia di Nauru,storia del territorio dello stato o della civiltà,History,entity
Q8031593,women in warfare and the military in the ancient era,Aspect of women's history,donne nelle guerre dell'antichità,donne in guerra,History,entity
Q8031595,women in warfare and the military in the medieval era,Aspect of women's history,donne nelle guerre del Medioevo,donne in guerra,History,entity
Q82972,history of China,account of past events in the Chinese civilisation,storia della Cina,storia del territorio dello stato o della civiltà,History,entity
Q830852,history of ancient Rome,aspect of history,storia romana,storia di Roma dalle origini dell'Urbe alla caduta dell'Impero romano d'Occidente (VIII secolo a.C. - V secolo d.C.),History,entity
Q839809,history of Bangladesh,history of region now comprising Bangladesh,storia del Bangladesh,storia del territorio dello stato o della civiltà,History,entity
Q840261,history of East Timor,aspect of history,storia di Timor Est,storia del territorio dello stato o della civiltà,History,entity
Q842274,history of Kenya,aspect of history,storia del Kenya,storia del territorio dello stato o della civiltà,History,entity
