item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q2664136,Bulgarian Greek Catholic Church,particular church in full communion with the Catholic Church,Chiesa greco-cattolica bulgara,chiesa cattolica di rito bizantino,Religion,entity
Q275051,Sumerian religion,first religion of Mesopotamia region which is tangible by writing,mitologia sumera,prima religione della regione Mesopotamica,Religion,entity
Q2765545,Winti,Surinamese religion,Winti,religione in Suriname,Religion,entity
Q285441,heathenry,modern Pagan religion modelled on pre-Christian Germanic traditions,etenismo,religione neopagana basata sulla tradizione degli antichi Germani,Religion,entity
Q2920150,Kitniyot,category of food that some Ashkenazi Jews do not eat on Passover,Kitniyot,Categoria di cibi che alcuni ebrei aschenaziti non mangiano durante la Pasqua ebraica,Religion,entity
Q319218,Gelug,one of the schools of Tibetan Buddhism,Gelug,una delle quattro scuole principali nel buddismo tibetano,Religion,entity
Q337547,ancient Roman religion,form of Indo-European polytheism practised in the Roman civilization,religione romana,credenze del popolo romano,Religion,entity
Q3443559,Macedonian Greek Catholic Church,Eastern Catholic church,Chiesa greco-cattolica macedone,chiesa cattolica di rito bizantino,Religion,entity
Q3450786,Sallekhana,Jain ritual for religious death,Sallekhana,Pratica religiosa,Religion,entity
Q3586020,Greek Catholic Church of Croatia and Serbia,Eastern Catholic church in full communion with the Catholic Church,Chiesa greco-cattolica croata,chiesa cattolica di rito bizantino,Religion,entity
Q3620148,Holy of Holies,term in the Hebrew Bible,Santo dei Santi,"area più sacra del tabernacolo prima e del Tempio di JHWH dopo, nei quali era custodita l'arca dell'alleanza",Religion,entity
Q384728,Ōbaku,school of Zen in Japanese Buddhism,Ōbaku-shū,scuola buddhista Zen giapponese,Religion,entity
Q389676,Ukrainian Orthodox Church – Kyiv Patriarchate,established in 1992 (UOC-KP),Chiesa ortodossa ucraina - Patriarcato di Kiev,"chiesa ortodossa autocefala ucraina, esistita dal 1992 al 2018",Religion,entity
Q4200613,Ynglism,"Rodnover branch founded by Aleksandr Yuryevich Khinevich based on the ""Slavo-Aryan Vedas""",Ynglismo,"Branca della rodnoveria slava fondata da Aleksandr Yuryevich Khinevich e basata sui ""Veda slavo-ariani""",Religion,entity
Q432682,Shambhala,mythical kingdom,Shambhala,luogo mitico,Religion,entity
Q446021,Ancient Semitic religion,Polytheistic religions of the Semitic peoples,antica religione semitica,religione politeista del popolo semitico,Religion,entity
Q447131,religion of ancient Egypt,system of polytheistic beliefs and rituals integral to ancient Egyptian society,religione egizia,credenze e riti egizi correlati al sacro,Religion,entity
Q470364,Caodaism,"monotheistic syncretic religion founded in Tây Ninh, Vietnam in 1926",caodaismo,nuovo movimento religioso fondato nel 1926 presso Tay Ninh (Vietnam) da Ngo Van Chieu,Religion,entity
Q471187,Kagyu,school of Tibetan Buddhism,Kagyu,una delle quattro scuole principali nel buddismo tibetano,Religion,entity
Q472189,Ukrainian Greek Catholic Church,Byzantine Rite Eastern Catholic Church,Chiesa greco-cattolica ucraina,chiesa cattolica di rito bizantino,Religion,entity
Q483889,Tibetan Buddhism,form of Buddhism practiced in Tibet and Bhutan,buddismo tibetano,forma di buddismo praticata in Tibet e in Bhutan,Religion,entity
Q48957376,WinningJahrian,religion in Nigeria founded by musician Winning Jah,WinningJahrian,Religione,Religion,entity
Q513638,Cheondoism,"20th-century Korean pantheistic religion, based on the 19th-century Donghak religious movement founded by Choe Je-u and codified under Son Byong-hi",Ceondoismo,religione nata in Corea,Religion,entity
Q5147615,Collyridianism,ancient group alleged to have worshipped Mary mother of Jesus as a goddess,Colliridianesimo,"antico gruppo che venerava Maria, madre di Gesù, come una dea",Religion,entity
Q519571,Albanian Greek Catholic Church,Greek Catholic Church in Albania,Chiesa greco-cattolica albanese,chiesa cattolica di rito bizantino,Religion,entity
Q529899,Lemuria,ancient Roman festival,Lemuria,festività dell'antica Roma,Religion,entity
Q532662,Malankara Orthodox Syrian Church,"Oriental Orthodox Church in Kerala, India",Chiesa ortodossa siriaca del Malankara,Chiesa cristiana miafisita diffusa nello Stato indiano del Kerala,Religion,entity
Q536890,The Family International,Christian new religious movement founded by David Berg in 1968 in the United States,Bambini di Dio,nuovo movimento religioso,Religion,entity
Q537514,Anglo-Saxon paganism,Polytheistic religious beliefs and practices of the Anglo-Saxons,Mitologia anglosassone,insieme di miti e credenze della civiltà anglosassone,Religion,entity
Q541235,anglo-catholicism,Anglicanism that emphasises its Catholic heritage,anglo-cattolicesimo,corrente dell'anglicanesimo,Religion,entity
Q5464420,folk Catholicism,variety of regional or ethnic expressions of Roman Catholicism,Cattolicesimo popolare,espressione folklorica di cattolicesimo,Religion,entity
Q582451,Dianic Wicca,Neopagan female-centered goddess ritual,Dianismo,corrente spirituale neopagana matrifocale,Religion,entity
Q6084124,preanimism,"hypothesized religious belief earlier than animism, in which supernatural forces are not personified",Preanimismo,forma di credenza,Religion,entity
Q617717,Soka Gakkai,Japanese Buddhist religious movement,Soka Gakkai,scuola laica buddista giapponese,Religion,entity
Q6188227,Jesus Name Apostolic Church of Ecuador,Oneness Apostolic Ecuadorian Church,Chiesa Evangelica Apostolica nel nome di Gesù,Chiesa Apostolica nel Nome di Gesù,Religion,entity
Q624477,Christian Science,American religious movement (1866-),cristianesimo scientista,movimento religioso fondato nel 1879 negli Stati Uniti d'America.,Religion,entity
Q631897,Raelism,UFO religion founded in 1974,Movimento raeliano,nuovo movimento religioso,Religion,entity
Q650035,Sakya,Tibetan buddhist school,Sakya,una delle quattro scuole principali nel buddismo tibetano,Religion,entity
Q657390,Ruthenian Greek Catholic Church,an Eastern Catholic church of the Byzantine Rite,Chiesa greco-cattolica rutena,chiesa cattolica di rito bizantino,Religion,entity
Q691253,Positive Christianity,movement within Nazi Germany which mixed ideas of racial purity and Nazi ideology with elements of Christianity,Cristianesimo positivo,movimento religioso sviluppato in Germania su ispirazione dell'ideologia nazista,Religion,entity
Q698387,Febronianism,18th-century movement within the Roman Catholic Church in Germany,febronianesimo,sistema politico-ecclesiastico del XVIII secolo,Religion,entity
Q740931,Gallicanism,the belief that popular civil authority—often represented by the monarchs' authority or the state's authority—over the Catholic Church is comparable to that of the Pope's,gallicanesimo,"dottrina politica e religiosa francese, mirata a spogliare il papa del potere temporale",Religion,entity
Q7442294,Seax-Wica,"tradition, or denomination, of the neopagan religion of Wicca",Seax Wica,ramo della religione Wicca,Religion,entity
Q745955,Thelema,occult philosophy developed by Aleister Crowley,Thelema,filosofia religiosa,Religion,entity
Q752660,Candomblé,Afro-Brazilian religion,candomblé,religione afro-brasiliana,Religion,entity
Q755970,Syriac Catholic Church,Eastern Catholic church,Chiesa cattolica sira,chiesa cattolica di rito antiocheno,Religion,entity
Q75809,Lutheranism,form of Protestantism commonly associated with the teachings of Martin Luther,luteranesimo,Denominazione cristiana nell'ambito del protestantesimo,Religion,entity
Q781560,Aztec religion,Mesoamerican religion of the Aztecs,religione azteca,Religione politeista,Religion,entity
Q785264,Ukrainian Autocephalous Orthodox Church,Christian denomination (1989–2018),Chiesa ortodossa autocefala ucraina,passata istituzione ecclesiasticia della Chiesa ortodossa in Ucraina,Religion,entity
Q792212,Belarusian Greek Catholic Church,Eastern Catholic Church (sui iuris Eastern rite particular Church in full union with the Catholic Church),Chiesa greco-cattolica bielorussa,chiesa cattolica di rito bizantino,Religion,entity
Q808755,Barquinha,new religious movement,Barquinha,nuovo movimento religioso,Religion,entity
Q812767,Shinto,religion from Japan,shintoismo,religione,Religion,entity
Q837605,Tengrism,original religion of the Turkic and Mongolic peoples,tengrismo,religione dell'Asia centrale,Religion,entity
Q844083,Eritrean Orthodox Tewahedo Church,Oriental Orthodox church,Chiesa ortodossa eritrea,Chiesa cristiana miafisita diffusa in Eritrea,Religion,entity
Q846093,Italo-Albanian Catholic Church,eastern Catholic particular church which uses the Byzantine Rite,Chiesa cattolica Italo-Albanese,chiesa cattolica di rito bizantino,Religion,entity
Q848771,Nyingma,school of Tibetan Buddhism,nyingmapa,una delle quattro scuole principali nel buddismo tibetano,Religion,entity
Q855270,Ancient Greek religion,religion in ancient Greece,religione dell'antica Grecia,religioni dell'antica Grecia,Religion,entity
Q856349,Romanian Greek Catholic Church,"sui iuris Eastern Catholic Church, in full union with the Roman Catholic Church",Chiesa greco-cattolica rumena,chiesa cattolica di rito bizantino,Religion,entity
Q871371,Nichiren Buddhism,branch of Buddhism based on the teachings of the 13th-century Japanese monk Nichiren,Buddhismo Nichiren,scuola buddhista,Religion,entity
Q889766,Brahmanism,South Asian religion,brahmanesimo,religione dell'India,Religion,entity
Q89918799,Hetanism,Armenian Neopaganism,Hetanesimo,neopaganesimo armeno,Religion,entity
Q911398,Slovak Greek Catholic Church,Byzantine Rite Eastern Catholic Church,Chiesa greco-cattolica slovacca,chiesa cattolica di rito bizantino,Religion,entity
Q912208,Jōdo-shū,branch of Buddhism in Japan,Jōdo-shū,corrente del buddismo in Giappone,Religion,entity
Q920852,Universal Life,New religious movement in Germany,Vita Universale,movimento religioso,Religion,entity
Q936346,Crypto-Islam,secret adherence to Islam while publicly professing to be of another faith,Criptomusulmani,aderenza segreta all'Islam mentre pubblicamente si professa una fede diversa,Religion,entity
Q940573,New Thought,"religious movement emphasizing accessible divine power, positive thinking, and faith healing",Nuovo Pensiero,insieme di organizzazioni e persone che condividono la visione del divino e la guarigione.,Religion,entity
Q950310,Hungarian Greek Catholic Church,Christian Catholic denomination particular to Hungary,Chiesa greco-cattolica ungherese,chiesa cattolica di rito bizantino,Religion,entity
Q955165,Grapevine cross,Symbol of the Georgian Orthodox Church,Croce di Santa Nino,Simbolo della Chiesa Ortodossa georgiana,Religion,entity
Q22679,Baháʼí Faith,monotheistic religion revealed by Bahāʾullāh,Bahá'í,religione monoteistica,Religion,entity
Q23540,Protestantism,"division within Christianity, originating from the Reformation in the 16th century against the Catholic Church, that rejects the Catholic doctrines of papal supremacy and sacraments",protestantesimo,forma di cristianesimo,Religion,entity
Q26314,Eleusinian Mysteries,secret religious rites in ancient Greece,Misteri eleusini,riti religiosi misterici,Religion,entity
Q27712,Jewish Renewal,"movement to reinvigorate modern Judaism with Kabbalistic, Hasidic, musical and meditative practices",Rinnovamento giudaico,movimento ebraico,Religion,entity
Q42042,shamanism,practice that involves a practitioner reaching altered states of consciousness in order to perceive and interact with what they believe to be a spirit world,sciamanesimo,complesso di credenze e pratiche religiose riscontrabili in una vasta gamma di contesti etnografici,Religion,entity
Q43004,animism,religious worldview,animismo,pratica religiosa,Religion,entity
Q432,Islam,Abrahamic religion founded by Muhammad,islam,"religione monoteista fondata da Maometto nel VII secolo, basata sugli insegnamenti del libro del Corano",Religion,entity
Q44476,Greek Byzantine Catholic Church,religious organization,Chiesa cattolica greca di rito bizantino,chiesa cattolica di rito bizantino,Religion,entity
Q46788,Heaven's Gate,"American UFO religion, whose members committed mass suicide in 1997",Heaven's Gate,Setta,Religion,entity
Q49378,Coptic Catholic Church,Eastern Catholic particular church which uses the Alexandrian Rite,Chiesa cattolica copta,chiesa cattolica di rito alessandrino,Religion,entity
Q5043,Christianity,Abrahamic monotheistic religion,cristianesimo,religione monoteista,Religion,entity
Q59774,Wicca,modern syncretic pagan religion,Wicca,religione e corrente spirituale appartenente al movimento neopagano,Religion,entity
Q64842,Armenian Catholic Church,one of the Eastern particular churches sui iuris of the Catholic Church,Chiesa armeno-cattolica,chiesa cattolica di rito armeno,Religion,entity
Q64849,Ethiopian Catholic Church,Metropolitan sui iuris Eastern particular church within the Catholic Church,Chiesa cattolica etiope,chiesa cattolica di rito alessandrino,Religion,entity
Q64852,Russian Greek Catholic Church,Byzantine Rite church sui juris in full union with the Catholic Church,Chiesa greco-cattolica russa,chiesa cattolica di rito bizantino,Religion,entity
Q64868,Chaldean Catholic Church,Eastern Syriac particular church of the Catholic Church,Chiesa cattolica caldea,chiesa cattolica di rito caldeo,Religion,entity
Q64871,Syro-Malabar Church,East Syriac Catholic Church based in India,Chiesa cattolica siro-malabarese,chiesa cattolica di rito caldeo,Religion,entity
Q64885,Melkite Greek Catholic Church,Eastern Catholic church,Chiesa greco-cattolica melchita,chiesa cattolica di rito bizantino,Religion,entity
Q64900,Maronite Church,Eastern Catholic sui iuris particular church of the Catholic Church,Chiesa maronita,chiesa cattolica di rito antiocheno,Religion,entity
Q7340,Discordianism,religion and subsequent philosophy based on the veneration or worship of Eris,discordianesimo,religione satirica o parodistica,Religion,entity
Q748,Buddhism,Indian religion,buddismo,religione,Religion,entity
Q7953,Zen,school of Mahāyāna Buddhist Tradition,zen,scuola buddhista giapponese divisa in sottoscuole appartenente alla tradizione Mahāyāna,Religion,entity
Q9089,Hinduism,religion widely practiced in the Indian subcontinent,induismo,religione,Religion,entity
Q9232,Jainism,Indian religion,giainismo,antica religione nata in India,Religion,entity
Q9268,Judaism,Abrahamic monotheistic ethnic religion of the Jews,ebraismo,religione monoteistica,Religion,entity
Q9316,Sikhism,monotheistic Indian religion,sikhismo,religione nata in India,Religion,entity
Q9581,Confucianism,Chinese ethical and philosophical system,confucianesimo,tradizione filosofica e morale,Religion,entity
Q9598,Taoism,religious or philosophical tradition of Chinese origin,taoismo,"filosofia religiosa panteistica, monistica",Religion,entity
Q9601,Zoroastrianism,Iranian religion founded by Zoroaster,zoroastrismo,religione e filosofia,Religion,entity
Q29536,paganism,polytheistic religious groups,paganesimo,religioni praticate precedentemente al Cristianesimo,Religion,concept
Q9598,Taoism,religious or philosophical tradition of Chinese origin,taoismo,"filosofia religiosa panteistica, monistica",Religion,concept
Q9232,Jainism,Indian religion,giainismo,antica religione nata in India,Religion,concept
Q131165,Manichaeism,Persian religion founded in the 3rd century CE,manicheismo,religione dualista fondata dal persiano Mani,Religion,concept
Q183308,New Age,spiritual or religious beliefs and practices that developed in Western nations during the 1970s,New Age,movimento culturale alternativo,Religion,concept
Q383258,orthodoxy,"adherence to the actual accepted belief, especially in religion",ortodossia,piena adesione a una dottrina,Religion,concept
Q247700,plane,"a subtle state, level, or region of reality",Piani di realtà,Dimensioni o strati sottili in cui si ritiene suddivisa la totalità dell'essere nell'esoterismo,Religion,concept
Q263031,Celtic polytheism,religion practiced by ancient Celtic people,religione celtica,"Politeismo e Divinità I Celti adoravano numerose divinità, ognuna associata a specifici aspetti della vita, come la guerra, la fertilità e la natura. Le divinità erano spesso rappresentate attraverso simboli naturali, come alberi e animali",Religion,concept
Q337547,ancient Roman religion,form of Indo-European polytheism practised in the Roman civilization,religione romana,credenze del popolo romano,Religion,concept
Q188213,state religion,religious body or creed officially endorsed by the state,religione di Stato,credo religioso che gode di approvazione ufficiale da parte dello Stato,Religion,concept
Q178671,Theosophy,religion founded by Helena Blavatsky,teosofia,insieme di dottrine esoterico-filosofiche rese popolari nel XIX secolo da Helena Petrovna Blavatsky,Religion,concept
Q477544,new religious movement,religious community or spiritual group of modern origins,nuovo movimento religioso,movimento religioso o spirituale nato principalmente nell'ultimo secolo,Religion,concept
Q930585,Gemara,"one of the two parts of the Talmud (along with the Mishnah), comprising 63 books of of rabbinical analyses and commentaries on the Mishnah",Ghemara,parte del Talmud,Religion,concept
Q505821,Greco-Roman mysteries,religious/ritual practice of the Greco-Roman world,religione misterica,religioni i cui fondamenti sono rivelati solo agli adepti,Religion,concept
Q177764,Voodoo Church,"religion practiced by the Aja, Ewe, and Fon people",vudù,religione afroamericana,Religion,concept
Q840665,idolatry,idol worship,idolatria,fase religiosa,Religion,concept
Q815628,Bon,Tibetan religion,Bön,antica religione del Tibet e del Nepal,Religion,concept
Q1784735,UFO religion,type of religion which is partly based on beliefs about UFOs or extraterrestrial aliens,religione ufologica,tipo di religione,Religion,concept
Q1651597,Indian religions,religions that originated in the Indian subcontinent,religioni indiane,religioni che hanno avuto origine nel subcontinente indiano,Religion,concept
Q620629,deism,belief in God without revelation,deismo,filosofia razionalista e anticlericale,Religion,concept
Q1189816,ethnic religion,religion defined by the ethnicity of its adherents,religione etnica,religione o sistema di credenze associate a uno specifico gruppo etnico,Religion,concept
Q620805,theism,belief in the existence of at least one deity; the opposite of atheism,teismo,dottrina e credo secondo cui esista almeno una divinità,Religion,concept
Q6957341,Major religious groups,religious movement with major international spread,religione maggiore,movimenti religiosi con diffusione internazionale maggiore,Religion,concept
Q11272439,Jeungsanism,korean New Religious Movement,Jeungsanismo,movimento religioso sudcoreano,Religion,concept
Q22974199,minority religion,"religion held by a minority of the population of a country, state, or region",religione di minoranza,"religione di una minoranza della popolazione di un paese, stato o regione",Religion,concept
