item,itemLabel,itemDescription,itemItalianLabel,itemItalianDescription,category,type
Q19839330,Pierce's disease,"pathology of the grapevine, endemic in northern California, caused by the bacterium Xylella fastidiosa, vectored by the blue-green sharpshooter,",Malattia di Pierce,"patologia della vite, causata dal batterio Xylella fastidiosa e trasmessa dal vettore Homalodisca vitripennis",Biology,entity
Q19850514,Olive Quick Decline Syndrome,phytopathology targeting olive trees and causing leaf scorch and death of branches and of the entire  plant,complesso del disseccamento rapido dell'olivo,fitopatologia dell'ulivo (''Olea europaea''),Biology,entity
Q20113959,nature conservation,conservation of nature,conservazione della natura,disciplina accademica,Biology,entity
Q2043240,chiropterology,"branch of zoology, studying bats",chirotterologia,ramo della zoologia che studia i pipistrelli,Biology,entity
Q210369,paleozoology,branch of paleontology and zoology that studies fossil animals,paleozoologia,disciplina paleontologica che studia gli animali estinti,Biology,entity
Q210506,molecular genetics,scientific study of genes at the molecular level,genetica molecolare,studio scientifico dei geni al livello molecolare,Biology,entity
Q213713,developmental biology,discipline that explores the processes by which individual organisms grow and develop (ontogeny),biologia dello sviluppo,branca della biologia che studia lo sviluppo embrionale,Biology,entity
Q219488,primatology,scientific study of primates,primatologia,branca della mammologia che studia i primati,Biology,entity
Q222046,genomics,interdisciplinary field of biology,genomica,branca della biologia molecolare che studia il genoma degli organismi viventi,Biology,entity
Q2305304,self psychology,school of psychoanalysis,psicologia del Sé,orientamento della psicologia dinamica,Biology,entity
Q243748,bacteriology,study of bacteria,batteriologia,branca della microbiologia che studia i batteri,Biology,entity
Q2487696,biochemical engineering,Manufacturing by chemical reactions of biological organisms,ingegneria biochimica,branca dell'ingegneria chimica,Biology,entity
Q24895148,APG IV system,third revision (2016) of a classification of flowering plants by the,Classificazione APG IV,Angiosperm Phylogeny Group 2016,Biology,entity
Q261364,Genetic history of Italy,aspect of history,Storia genetica dell'Italia,storia genetica dell'Italia,Biology,entity
Q2669293,acarology,zoology of mites and ticks,acarologia,zoologia degli acari,Biology,entity
Q28946449,transcriptomics,study of RNA transcripts,trascrittomica,la disciplina che studia l'insieme degli RNA messaggeri,Biology,entity
Q2993446,connectomics,study of mapping wiring diagrams,connettomica,mappatura dell'encefalo,Biology,entity
Q3145111,heterophoria,vision abnormality,eteroforia,anomalia della vista,Biology,entity
Q318668,zooarchaeology,branch of archaeology that studies remains of animals from archaeological sites,archeozoologia,branca dell'archeologia,Biology,entity
Q3291045,metoidioplasty,"female-to-male sex reassignment surgery, creating a penis-analogue from the clitoris",metoidioplastica,"operazione chirurgica di riassegnamento del sesso FtM, che consiste nella creazione di uno pseudopene partendo dalla clitoride",Biology,entity
Q3450906,behavioural biology,subdiscipline of biology,biologia comportamentale,branca della biologia,Biology,entity
Q3516404,systematics,study of relationships between organisms,sistematica,branca della biologia che si occupa di classificare gli esseri viventi,Biology,entity
Q3640158,reproductive biology,branch of biology studying reproduction,biologia della riproduzione,branca della biologia che studia la riproduzione,Biology,entity
Q381392,aerobiology,"branch of biology that studies organic particles, such as bacteria, fungal spores, very small insects, pollen grains and viruses, which are passively transported by the air",aerobiologia,branca della biologia che studia le particelle sospese presenti in atmosfera,Biology,entity
Q396338,agroecology,study of ecological processes in agriculture,agroecologia,"applicazione dei principi ecologici alla produzione di alimenti, carburante, fibre e farmaci nonché alla gestione di agrosistemi",Biology,entity
Q433179,APG system,1998 system of plant taxonomy,classificazione APG,classificazione scientifiche delle piante,Biology,entity
Q4420546,synecology,study of biological communities,sinecologia,scienza che studia i rapporti tra le comunità biologiche e tra gli ecosistemi della Terra.,Biology,entity
Q444351,dual-energy X-ray absorptiometry,diagnostic test for bone mineral density testing,Mineralometria ossea computerizzata,test diagnostico,Biology,entity
Q4530312,marine ecology,"branch of ecology concerning marine-life habitats, populations, and interactions among organisms and the surrounding environment",ecologia marina,"branca dell'ecologia riguardante gli habitat della vita marina, le popolazioni e le interazioni tra gli organismi e l'ambiente circostante",Biology,entity
Q455928,paleornithology,scientific study of bird evolution and fossil birds,Paleornitologia,la disciplina scientifica che studia l'evoluzione degli uccelli e i loro esemplari fossili,Biology,entity
Q465206,SLAP tear,tear of the superior glenoid labrum from anterior to posterior,lesione SLAP,lesione del cercine glenoideo,Biology,entity
Q4689878,African Parks Network,international NGO from South Africa,African Parks,ONG che si dedica alla conservazione dell'ambiente,Biology,entity
Q4869597,batrachology,branch of herpetology that studies amphibians,batracologia,branca della zoologia che studia gli anfibi,Biology,entity
Q499578,myrmecology,study of ants,mirmecologia,branca della entomologia che si occupa dello studio delle formiche,Biology,entity
Q506874,chronobiology,field of biology that examines periodic (cyclic) phenomena in living organisms,cronobiologia,branca della biologia che studia i fenomeni ciclici negli organismi viventi e il loro adattamento ai ritmi solari e lunari,Biology,entity
Q5333460,economic entomology,"branch of entomology that studies insects that benefit or harm humans, domestic animals, and crops",entomologia economica,settore che studia i risvolti economici dell'entomologia,Biology,entity
Q541080,lithopedion,calcified body of a dead fetus,Lithopedion,morte del feto in gravidanza extrauterina,Biology,entity
Q55611285,experimental biology,set of approaches in the field of biology concerned with the conduction of experiments to investigate and understand biological phenomena,biologia sperimentale,branca della biologia che studia i sistemi biologici utilizzando tecniche scientifiche,Biology,entity
Q565832,photorefractive keratectomy,eye surgery,cheratectomia fotorefrattiva,chirurgia dell'occhio,Biology,entity
Q577555,ophiology,branch of herpetology that studies snakes,Ofiologia,studio dei serpenti,Biology,entity
Q589284,diving reflex,physiological response to immersion of air-breathing vertebrates,riflesso di immersione,risposta fisiologica all'immersione di vertebrati terrestri,Biology,entity
Q599721,egosyntonicity,psychoanalytic theory,Egosintonico,concetto psicologico,Biology,entity
Q599991,zoogeography,branch of the science of biogeography that is concerned with the geographic distribution (present and past) of animal species,zoogeografia,scienza che studia la distribuzione geografica delle specie animali,Biology,entity
Q618607,melittology,branch of entomology concerning the scientific study of bees,melittologia,disciplina scientifica che studia le api,Biology,entity
Q636481,paleoethnobotany,"study of remains of plants cultivated or used by man in ancient times, which have survived in archaeological contexts",paletnobotanica,studio delle passate interazioni umanità-piante,Biology,entity
Q672832,cryobiology,study of effects of extreme low temperatures on life forms,criobiologia,branca della biologia che studia gli effetti delle basse temperature sugli esseri viventi,Biology,entity
Q695883,cetology,"branch of zoology about cetaceans (whales, dolphins, porpoises)",cetologia,branca della mammologia che studia i cetacei,Biology,entity
Q7201518,plant genetics,"study of genes, heredity in plants",genetica vegetale,insieme degli studi genetici sulle piante,Biology,entity
Q738011,landscape ecology,science of relationships between ecological processes in the environment and particular ecosystems,ecologia del paesaggio,branca della scienza,Biology,entity
Q738728,penis envy,"in Freudian psychoanalysis, the female psychosexual developmental stage when young girls experience anxiety upon realizing that they lack a penis; begins the transition from attachment to the mother to competition with the mother for the father",invidia del pene,concetto psicoanalitico,Biology,entity
Q7908508,vaginal tightening,gynecological surgery,restringimento vaginale,intervento ginecologico,Biology,entity
Q815297,systems biology,computational and mathematical modeling of complex biological systems,biologia dei sistemi,branca della biologia che studia gli organismi viventi in quanto sistemi che evolvono nel tempo,Biology,entity
Q819121,osteology,scientific study of bones,osteologia,studio scientifico delle ossa,Biology,entity
Q840400,evolutionary biology,study of the processes that produced the diversity of life,biologia evolutiva,branca della biologia che studia l'evoluzione delle specie,Biology,entity
Q84263196,COVID-19,contagious disease caused by SARS-CoV-2,COVID-19,malattia infettiva respiratoria causata dal ceppo patogeno SARS-CoV-2,Biology,entity
Q899719,bryology,branch of botany concerned with the scientific study of bryophytes,briologia,branca botanica che studia le briofite,Biology,entity
Q940923,psychodynamics,approach to psychology,psicodinamica,branca della psicologia che studia i meccanismi e processi psichici sottesi al comportamento e alla personalità,Biology,entity
Q26939,epigenetics,study of changes in gene expression or cellular phenotype,epigenetica,branca della genetica,Biology,entity
Q39286,entomology,scientific study of insects,entomologia,branca della zoologia che studia gli insetti,Biology,entity
Q4021,plant anatomy,study of the internal structure of plants,anatomia vegetale,studio della struttura interna delle piante,Biology,entity
Q411,astrobiology,study of the formation of life on Earth and elsewhere on other planets in outer space,astrobiologia,"scienza che studia l'origine, l'evoluzione e la distribuzione delle forme di vita nell'universo, cercando di scoprire se esistono forme di vita nate fuori dal pianeta Terra",Biology,entity
Q431,zoology,scientific study of animals,zoologia,branca della biologia che studia gli animali,Biology,entity
Q441,botany,science of plant life,botanica,branca della biologia che studia i vegetali,Biology,entity
Q44703,ornithology,study of birds,ornitologia,branca della zoologia che studia gli uccelli,Biology,entity
Q514,anatomy,study of the internal structure of organisms and their parts,anatomia,branca della biologia che studia la struttura degli organismi viventi,Biology,entity
Q521,physiology,science regarding function of organisms or living systems,fisiologia,branca della biologia che studia il funzionamento degli organismi viventi,Biology,entity
Q52106,biogeography,study of the distribution of species and ecosystems in geographic space and through geological time,biogeografia,branca della biologia che studia la distribuzione geografica degli organismi viventi,Biology,entity
Q52862,podology,study of the foot,podologia,branca disciplinare,Biology,entity
Q60242,ichthyology,branch of zoology devoted to the study of fish,ittiologia,branca della zoologia che studia i pesci,Biology,entity
Q7094,biochemistry,study of chemical processes in living organisms,biochimica,"branca della biologia che studia i bioelementi, le biomolecole e il metabolismo cellulare",Biology,entity
Q7100,biophysics,study of biological systems using methods from the physical sciences,biofisica,branca della biologia e della fisica che studia i processi biologici applicando metodi propri della fisica,Biology,entity
Q7141,cell biology,scientific discipline that studies cells,biologia cellulare,branca della biologia che studia la cellula,Biology,entity
Q7150,ecology,scientific study of the relationships between living organisms,ecologia,branca della biologia che studia le interazioni tra gli organismi e il loro ambiente,Biology,entity
Q7155,ethology,scientific study of animal behavior,etologia,branca della biologia che studia il comportamento animale,Biology,entity
Q7162,genetics,"science of genes, heredity, and variation in living organisms",genetica,"branca della biologia che studia i geni, l'ereditarietà e la variabilità degli organismi viventi",Biology,entity
Q7173,marine biology,scientific study of organisms in the ocean or other marine or brackish bodies of water,biologia marina,branca della biologia che studia gli organismi viventi marini,Biology,entity
Q7175,mycology,branch of biology concerned with the study of fungi,micologia,branca della biologia che studia i funghi (Fungi),Biology,entity
Q7193,microbiology,study of microscopic organisms,microbiologia,branca della biologia che studia i microrganismi,Biology,entity
Q7202,molecular biology,branch of biology that deals with the molecular basis of biological activity,biologia molecolare,branca della biologia che studia il dogma centrale,Biology,entity
Q7206,paleoanthropology,study of ancient humans,paleoantropologia,studio dei resti fossili dell'uomo e degli ominidi estinti,Biology,entity
Q7215,virology,scientific study of biological viruses,virologia,branca della microbiologia che studia i virus,Biology,entity
Q411,astrobiology,study of the formation of life on Earth and elsewhere on other planets in outer space,astrobiologia,"scienza che studia l'origine, l'evoluzione e la distribuzione delle forme di vita nell'universo, cercando di scoprire se esistono forme di vita nate fuori dal pianeta Terra",Biology,concept
Q431,zoology,scientific study of animals,zoologia,branca della biologia che studia gli animali,Biology,concept
Q514,anatomy,study of the internal structure of organisms and their parts,anatomia,branca della biologia che studia la struttura degli organismi viventi,Biology,concept
Q521,physiology,science regarding function of organisms or living systems,fisiologia,branca della biologia che studia il funzionamento degli organismi viventi,Biology,concept
Q441,botany,science of plant life,botanica,branca della biologia che studia i vegetali,Biology,concept
Q28598684,branch of biology,type of branch of science,branca della biologia,tipo di branca della scienza,Biology,concept
Q7150,ecology,scientific study of the relationships between living organisms,ecologia,branca della biologia che studia le interazioni tra gli organismi e il loro ambiente,Biology,concept
Q18378619,biological oceanography,"study of how organisms affect and are affected by the physics, chemistry, and geology of the oceanographic system",Oceanografia biologica,"lo studio come gli organismi affettano e sono affettati dalla fisica, chimica e geologia oqeanica",Biology,concept
Q7141,cell biology,scientific discipline that studies cells,biologia cellulare,branca della biologia che studia la cellula,Biology,concept
Q7100,biophysics,study of biological systems using methods from the physical sciences,biofisica,branca della biologia e della fisica che studia i processi biologici applicando metodi propri della fisica,Biology,concept
Q55611285,experimental biology,set of approaches in the field of biology concerned with the conduction of experiments to investigate and understand biological phenomena,biologia sperimentale,branca della biologia che studia i sistemi biologici utilizzando tecniche scientifiche,Biology,concept
Q7168,histology,study of the microscopic anatomy of cells and tissues of plants and animals,istologia,branca della biologia che studia i tessuti viventi,Biology,concept
Q7202,molecular biology,branch of biology that deals with the molecular basis of biological activity,biologia molecolare,branca della biologia che studia il dogma centrale,Biology,concept
Q7162,genetics,"science of genes, heredity, and variation in living organisms",genetica,"branca della biologia che studia i geni, l'ereditarietà e la variabilità degli organismi viventi",Biology,concept
Q7218,toxicology,"branch of biology, chemistry, and medicine",tossicologia,disciplina che studia gli effetti avversi delle sostanze chimiche sugli organismi,Biology,concept
Q47041,biodiversity,degree of variation of life forms,biodiversità,varietà di organismi viventi in un determinato ambiente,Biology,concept
Q162606,endocrinology,medical specialty; branch of science concerned with the study of hormones,endocrinologia,specializzazione medica,Biology,concept
Q7175,mycology,branch of biology concerned with the study of fungi,micologia,branca della biologia che studia i funghi (Fungi),Biology,concept
Q52106,biogeography,study of the distribution of species and ecosystems in geographic space and through geological time,biogeografia,branca della biologia che studia la distribuzione geografica degli organismi viventi,Biology,concept
Q101929,immunology,branch of medicine studying the immune system,immunologia,branca della biologia che studia il sistema immunitario,Biology,concept
Q7193,microbiology,study of microscopic organisms,microbiologia,branca della biologia che studia i microrganismi,Biology,concept
Q174502,bioelectronics,field of research in the convergence of biology and electronics,bioelettronica,campo di ricerca ove convergono biologia ed elettronica,Biology,concept
Q7094,biochemistry,study of chemical processes in living organisms,biochimica,"branca della biologia che studia i bioelementi, le biomolecole e il metabolismo cellulare",Biology,concept
Q190553,sociobiology,subdiscipline of biology regarding social behavior,sociobiologia,disciplina di studio,Biology,concept
Q131683,embryology,branch of biology studying prenatal biology,embriologia,branca della biologia che studia l'embrione,Biology,concept
Q189131,bionics,application of biological methods and systems found in nature to the study and design of engineering systems and modern technology,bionica,termine,Biology,concept
Q128406,pharmacology,branch of biology concerning drugs,farmacologia,branca della biologia che studia i farmaci,Biology,concept
Q213713,developmental biology,discipline that explores the processes by which individual organisms grow and develop (ontogeny),biologia dello sviluppo,branca della biologia che studia lo sviluppo embrionale,Biology,concept
Q183252,morphology,study of external forms and structures of organisms,morfologia,branca della biologia che studia la forma degli organismi viventi,Biology,concept
Q214746,biostatistics,study of statistics application in biology,biostatistica,studio delle applicazione statistiche in biologia,Biology,concept
Q381392,aerobiology,"branch of biology that studies organic particles, such as bacteria, fungal spores, very small insects, pollen grains and viruses, which are passively transported by the air",aerobiologia,branca della biologia che studia le particelle sospese presenti in atmosfera,Biology,concept
Q840400,evolutionary biology,study of the processes that produced the diversity of life,biologia evolutiva,branca della biologia che studia l'evoluzione delle specie,Biology,concept
Q1898509,neontology,branch of biology that studies living organisms,neontologia,ramo della biologia che studia gli organismi viventi,Biology,concept
Q1851434,morphometrics,quantitative study of size and shape,morfometria,"analisi quantitativa della forma, in geologia",Biology,concept
Q2467781,protistology,scientific discipline devoted to the study of protists,protistologia,branca della zoologia che studia i protisti,Biology,concept
Q506874,chronobiology,field of biology that examines periodic (cyclic) phenomena in living organisms,cronobiologia,branca della biologia che studia i fenomeni ciclici negli organismi viventi e il loro adattamento ai ritmi solari e lunari,Biology,concept
Q672832,cryobiology,study of effects of extreme low temperatures on life forms,criobiologia,branca della biologia che studia gli effetti delle basse temperature sugli esseri viventi,Biology,concept
Q908902,structural biology,study of molecular structures in biology,biologia strutturale,branca della biologia molecolare che studia la struttura delle biomolecole,Biology,concept
Q898674,neonatology,"medical care of newborns, especially the ill or premature",neonatologia,"branca della pediatria che si occupa della terapia medica dei neonati, in particolare se malati o prematuri",Biology,concept
Q1429339,quantum biology,application of quantum mechanics and theoretical chemistry to biological objects and problems,biologia quantistica,branca della biologia,Biology,concept
Q3640158,reproductive biology,branch of biology studying reproduction,biologia della riproduzione,branca della biologia che studia la riproduzione,Biology,concept
Q3450906,behavioural biology,subdiscipline of biology,biologia comportamentale,branca della biologia,Biology,concept
Q1044484,evolutionary developmental biology,field of biology,biologia evolutiva dello sviluppo,branca della biologia evolutiva e della biologia dello sviluppo che studia il modo in cui piccoli cambiamenti genetici possono essere amplificati e tradursi nelle differenze morfologiche esistenti tra le specie,Biology,concept
Q1130698,hydrobiology,science of life and life processes in water,idrobiologia,scienza della vita e dei processi vitali nell'acqua,Biology,concept
Q1145644,biomimetics,"imitation of biological systems to understand underlying mechanisms and to obtain ideas from nature to benefit science, engineering, and medicine",biomimetica,scienza che studia la natura come fonte di ispirazione per nuove tecnologie innovative,Biology,concept
Q864576,biomechatronics,term,biomeccatronica,branca comune alla bionica e alla meccatronica che si occupa di riprodurre con tecnologie cibernetiche le funzioni motorie degli organismi viventi,Biology,concept
Q1357756,mesology,former term for ecology,Mesologia,l'influenza dell'ambiente sugli esseri umani,Biology,concept
Q1578310,paleobiology,"science that studies the origin, evolution, way of life of animals and plants of past geological periods",paleobiologia,disciplina biologica che studia le condizioni di vita delle piante e degli animali estinti,Biology,concept
